country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Japan,30,26387218,2096049922,359,18516469,127625740,-109109271,9156851,10214888,7823758,15140468,15049003,16319806,19442918,17486439,17687751,15729380,15980738,20445016,10495608,12851943,14442892,25543778,22400536,24065460,24943648,23641550,24341975,27334397,25920316,27936126
Japan,50,25597480,2069499621,372,18404279,124663148,-106258870,9068076,10141471,7773857,15030477,14963892,16224063,19349377,17396934,17600636,15658921,15913695,20339459,10426103,12755902,14354258,25353774,22231986,23916460,24804187,23512370,24213229,27171128,25748066,27754363
Japan,75,23385489,1956460077,394,17640314,115700363,-98060047,8475087,9562299,7389832,14279977,14359376,15575501,18649297,16746321,16934315,15143158,15412659,19572038,9977173,12123758,13738771,24160054,21176706,22892452,23832114,22609286,23312217,26114839,24667069,26663259
Jordan,30,2271,97448,80,66,5254,-5187,129,54,6,352,18,73,51,0,0,16,0,35,0,144,79,0,184,0,111,53,0,0,50,230
Jordan,50,1531,68555,45,35,3774,-3739,52,41,0,172,0,27,27,0,0,0,0,19,0,91,51,0,123,0,54,0,0,0,0,187
Jordan,75,457,22165,48,6,1828,-1822,0,41,0,0,0,0,21,0,0,0,0,0,0,17,34,0,25,0,0,0,0,0,0,11
Kazakhstan,30,4240315,209692312,197,958698,17384357,-16425660,1100963,734823,658063,1123682,867977,739153,1072483,982616,1678597,980422,1700827,1134107,745911,204402,71760,449114,320668,374696,464773,718881,255226,967077,4597568,1064951
Kazakhstan,50,3155281,166630110,210,667349,12839413,-12172064,805173,529522,278454,530854,675450,503222,692469,670092,1426126,856969,1423004,1020366,582411,168972,64900,371424,222627,313923,392463,534212,218624,595944,2539835,599327
Kazakhstan,75,1759705,98345561,224,367921,6956574,-6588654,556000,368395,143681,309953,441650,367263,435193,340560,876885,538898,925388,719438,232320,86137,36307,231269,86764,124736,218282,152282,138800,219850,1074265,205782
Kenya,30,3319472,219227081,383,8342095,14093811,-5751717,9216299,10292968,6385931,7787174,5570910,9922680,13103509,8813139,7443696,11051646,8474042,9240489,6625250,7520895,8345208,10379024,12495105,8235163,7273653,9396597,3758592,3673626,6328566,8876096
Kenya,50,1891464,160499010,505,6744886,8156795,-1411908,8591701,9662066,5655567,6804603,4728813,8851247,11726308,7347169,6067964,9964363,7139281,7974263,4981130,5773524,6883449,8050725,9618293,6068359,4779792,6338719,2036586,2356112,4469467,6007765
Kenya,75,963681,105963867,670,4854404,4799027,55379,7014451,8231957,4344346,5366962,3545447,6830275,9112670,5129409,3890310,7738595,4905551,5871872,3331585,3838813,5023082,5784212,6949910,3876355,2613441,3441136,1222412,1494552,2946903,4001465
Kosovo,30,369938,28343307,296,365835,3250750,-2884915,450482,86347,106204,252909,136440,232914,277412,504814,391757,226970,353737,711351,312649,393864,245454,493018,339282,336127,392194,535347,297304,442126,853258,408093
Kosovo,50,334393,27196166,319,359909,2941451,-2581541,447470,85960,105335,251792,134302,229604,273939,499476,389519,225331,351734,693121,300517,386351,242243,486854,333566,332208,387033,527510,292549,433769,832985,394649
Kosovo,75,238566,21416087,355,316525,2103128,-1786602,424534,82394,100574,242480,123440,215661,257148,469124,378041,213322,336743,637571,245864,332817,206100,423913,281561,285835,320547,448169,250616,364636,651422,304091
Kyrgyzstan,30,674934,33445251,202,25124,3580899,-3555774,142541,69522,20600,45307,19681,22128,24668,22705,46537,76476,29892,18701,4122,1723,0,2802,14403,1157,2174,1829,2651,5050,14412,13882
Kyrgyzstan,50,430320,22686753,216,21747,2296037,-2274291,136190,61337,14743,37478,15460,16174,20527,18531,39153,71046,27245,14739,3186,1320,0,2629,12620,1078,1939,1721,2313,3754,6705,12018
Kyrgyzstan,75,208375,11891351,233,15522,1152514,-1136994,116926,39771,6731,24378,8606,8259,14195,10496,21460,59902,20728,8374,1924,341,0,1661,8905,807,1621,1124,1837,2185,2834,9454
Laos,30,19118849,2065872311,529,115271749,42211492,73060258,20305056,30513395,47425154,35261273,38653219,67617849,73870288,44418670,80214176,93521345,72408880,80126090,109515508,126268709,152394589,211360088,182074754,152541906,188105479,188131421,167574984,171505628,241625053,191088467
Laos,50,18115314,1999662608,540,110931954,38653093,72278860,19451513,29187957,46289006,34285432,38168886,66006955,72542668,43475122,78516963,92102959,70453351,77417967,104856817,120240740,146120046,202285974,173356867,145247878,178625873,180489072,160824485,164770308,233039411,184610644
Laos,75,14490377,1693353045,601,88164323,27793950,60370373,16410548,23909017,38791048,28582456,33760283,56029063,63334983,37755893,67783651,82295306,61019971,64835038,82273119,91334888,113950011,155250572,130667672,109174755,132944682,140062075,124951711,127569764,185935210,147322029
Latvia,30,3553508,157785635,201,13420646,22846233,-9425586,6240980,7466876,5732124,8147511,11195571,11011255,10494619,8674000,10782736,15293789,14541583,11167960,9097616,10610873,10322049,15165476,16206423,16674912,20568948,18508131,18356210,21973609,21202347,22659911
Latvia,50,3321043,154683339,226,13306249,21422415,-8116167,6192605,7433055,5716092,8113141,11134023,10945107,10452860,8641881,10738444,15230573,14494460,11128345,9024919,10506221,10225945,14990653,16001855,16394710,20328579,18271637,18202445,21749928,20989555,22442930
Latvia,75,2612534,133611419,260,12248657,16870589,-4621933,5873927,6987975,5467010,7730108,10595734,10345327,9979778,8267196,10251784,14559867,13960280,10730479,8240781,9542588,9297644,13466902,14311281,14657850,18180729,16244386,16485189,19668060,18883448,20239453
Lebanon,30,65235,3055462,183,82716,265701,-182985,79312,22144,19436,27058,79183,39374,62758,104847,103000,34534,44598,52638,46194,47416,56788,84805,91017,82020,122909,149400,154280,158614,152668,170194
Lebanon,50,44021,2244502,203,62546,185419,-122873,71122,16370,15776,21122,65862,31324,51520,90494,90329,28371,35898,41253,31923,36414,43952,59975,62745,58663,90116,112034,111785,110873,103713,119442
Lebanon,75,19096,1076823,229,31989,89056,-57066,48856,8838,8481,10706,37099,17087,29615,58289,58206,14536,21769,24937,12790,16081,21008,26655,25991,24479,40622,48931,57593,51666,48299,55217
Liberia,30,9384718,784333860,442,61801668,53091354,8710312,14076279,28488382,10892111,3171021,5630673,18349210,23111126,18926272,39438238,11042049,18468224,39280553,86071028,91766577,106393058,98666282,120732462,122247109,105663840,137617574,80606322,97119371,98400460,107081802
Liberia,50,9055172,767345513,460,59278335,49976169,9302167,13906930,28174028,10702034,3131817,5518234,17914534,22639155,18509090,38826850,10858261,18113140,38353329,82341327,87416316,102607752,94247412,115185868,116514439,100649557,130982809,77483721,92448454,94209509,101945488
Liberia,75,3611673,348136887,547,11835362,13028953,-1193591,8543227,15788299,5272351,1463191,2246658,7439210,9496885,6942137,16544149,5569049,6848850,11331600,11906934,13078629,16905276,12892493,16539791,15386730,14184712,16842271,14058407,16574700,17912622,20280510
Lithuania,30,2336225,111337236,177,6379051,15448578,-9069526,2081091,2729952,2419035,3646272,5741339,5099311,4868026,4693189,4517292,6960272,7427673,5913356,4716199,5466680,5533779,8932877,9257947,7284186,9080627,8719238,8935933,9626627,10148533,9297810
Lithuania,50,2178844,108977133,195,6304566,14516149,-8211582,2066221,2711698,2407754,3614503,5709540,5059939,4835539,4656898,4498591,6928800,7391698,5886043,4657511,5378326,5461754,8751238,9062720,7172710,8932549,8577711,8825817,9518664,10027586,9175771
Lithuania,75,1648221,89772811,225,5580454,11079443,-5498989,1922640,2464909,2242817,3341778,5226501,4702988,4466035,4309599,4216889,6481318,6898473,5525383,4070406,4639874,4772942,7376343,7588494,6101140,7670790,7304095,7664018,8334476,8621154,7987824
Luxembourg,30,101328,9809042,97,271074,771389,-500315,30912,44686,49693,152789,33891,186467,264447,525042,118009,493504,256212,255850,198658,256442,196253,310577,244179,278008,312916,415268,686833,206176,596457,392499
Luxembourg,50,96725,9621113,99,268756,739884,-471128,30233,44220,49379,151556,33464,184522,262696,522350,117028,491780,255409,255141,197437,254457,194761,306649,239060,274090,309019,410646,682355,203406,592064,388409
Luxembourg,75,81753,8564379,105,250030,634260,-384230,24264,39635,43691,135214,29354,165977,246868,479393,109517,465902,244472,247457,186664,238860,182341,283238,213719,247593,282239,378098,647970,186671,556110,365484
Madagascar,30,17141084,1398884576,428,110073821,70744085,39329735,46537171,46864156,41714418,43262161,46142005,29957622,94330841,58941755,68459706,51081691,84882411,63268487,158721233,202775894,156797436,205730401,263131961,190826035,126073031,128027746,121091730,134198020,159169608,119786171
Madagascar,50,12241380,1135592691,499,96131708,52355935,43775770,43988198,43722880,37064411,40226881,41536280,24491663,85249311,52835328,63112452,46370783,79949338,57751740,142492196,175395579,137133935,180624487,222360957,165517840,107100407,110553552,100114116,112380740,136483849,100704031
Madagascar,75,5863681,627644645,604,47811075,22231040,25580035,30558550,30255308,21987718,26653777,25345632,12456313,53863840,29759226,41604825,26194683,55885336,33016149,69306209,81272638,58963381,77196852,95791184,81348888,48414041,51723574,40360439,45027377,64620237,45859609
Malawi,30,1521029,93842120,386,4731227,5207672,-476444,987278,1732578,2876275,2228883,3407706,2401126,3119258,4006806,1572100,1574266,3750413,5891544,4546900,8545840,4845198,5823048,6499458,6459129,5247945,6867151,7023755,6557537,10405554,7179722
Malawi,50,313336,26913680,516,2344954,1581154,763800,654625,1243712,1649008,1368565,1859673,1546476,1896479,2409031,855048,900662,2301891,3764315,2086234,4297594,2499052,2740276,2593966,2448574,2322997,2949384,2803551,3063978,4996267,3027522
Malawi,75,16334,1776894,656,348279,358919,-10638,136560,231574,251977,171333,266900,296954,287433,427107,134189,179276,383267,454305,243562,414914,360826,297946,332633,348793,416690,317873,453355,562704,880731,507775
Malaysia,30,29444768,3677978014,640,229516808,104137106,125379701,134301303,146138914,109331191,201909648,229055659,210168279,272669094,249523251,454938197,269788109,309732224,420433503,196802651,381476839,259971042,318033536,255983919,223530772,197318258,130144265,134722963,120851390,146319689,135258682
Malaysia,50,28990729,3652097052,648,228102706,101524130,126578575,133495229,145380734,108848164,201046549,228212786,209653320,272109255,249113956,454260289,269421976,309328236,419453024,195708186,378532544,257923394,314719413,253580911,221296567,195016427,128368733,133011979,119401142,144019166,132562974
Malaysia,75,27260509,3529443593,662,219769518,92416519,127353000,128210792,139469616,104796126,194379812,221310719,204909947,266625011,245076884,447216305,265604215,305981340,413009704,188837194,362220629,246284928,296658230,241007733,209708854,183065222,119610506,123818895,112055960,133251621,121358208
Mali,30,25098,1417822,163,105515,902062,-796547,171865,70820,12814,60041,30040,36461,43609,38007,52593,19558,55777,28560,141938,98251,74073,73938,122185,101061,69142,57474,166941,241144,392434,373640
Mali,50,390,29018,217,52832,856745,-803913,113283,35703,5393,23724,8629,6881,9891,11182,10546,6159,10988,5802,19415,16416,12133,11984,21459,9707,4040,11614,126469,192183,294254,300155
Mali,75,47,4543,295,47197,856641,-809444,56257,13844,1132,10866,4736,4960,4193,3845,3435,1781,3925,4234,19228,16416,12105,11984,21459,9707,4040,11614,126469,192107,294228,300155
Malta,30,117,5597,48,129,280,-151,303,411,0,654,77,162,224,208,404,142,331,72,75,0,0,0,34,0,0,0,0,0,0,0
Malta,50,85,4350,51,109,209,-99,289,359,0,544,71,133,224,127,324,71,331,45,75,0,0,0,34,0,0,0,0,0,0,0
Malta,75,46,2492,54,88,123,-36,217,306,0,496,25,70,140,110,275,71,263,37,75,0,0,0,19,0,0,0,0,0,0,0
Martinique,30,74649,7011230,279,63328,304944,-241616,95613,24792,150494,85949,101707,44232,81168,140687,104161,40558,80990,160302,61824,66129,14489,12012,52696,24600,28380,33447,21617,16269,49934,27816
Martinique,50,70992,6819060,285,61465,288664,-227199,94312,24513,149097,84374,99776,43359,80244,138334,102826,39934,79951,156938,57731,61819,13314,11095,49526,23310,27001,32191,20078,15186,44783,25484
Martinique,75,62863,6290730,297,53582,253653,-200070,89416,22499,142533,79227,90607,39469,75613,126127,94822,37646,74082,144506,40713,45669,8815,8261,30473,17444,20353,26887,14562,11729,27380,17154
Mauritania,30,33,1703,51,783,1438,-654,8688,0,194,13,13,0,0,0,0,0,0,3,93,0,0,0,0,290,96,464,2006,2250,2992,1694
Mauritania,50,16,982,61,620,1437,-817,4795,0,194,0,0,0,0,0,0,0,0,3,93,0,0,0,0,290,96,464,2006,2250,2992,1694
Mauritania,75,0,15,102,413,1437,-1024,0,0,33,0,0,0,0,0,0,0,0,3,93,0,0,0,0,290,96,464,2006,2250,2992,1694
Micronesia,30,6171,749354,243,2219,54941,-52723,0,0,0,0,0,0,0,0,0,53246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia,50,6017,739385,246,2197,54101,-51904,0,0,0,0,0,0,0,0,0,52738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia,75,5613,707098,252,2129,52009,-49879,0,0,0,0,0,0,0,0,0,51102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,30,4090459,160257771,164,3618733,14228711,-10609978,4749499,4845316,13028934,16693400,1220204,4110422,6807901,8119486,10528079,1488184,1025643,5640002,125773,122455,950414,679621,3598131,1392699,892380,173176,41915,25832,144705,445400
Mongolia,50,1863039,85634444,185,2099487,6174166,-4074681,3796690,2761870,4414438,8510400,801024,2376275,5624087,4913367,8073479,972774,580461,2856887,52536,69346,809649,468193,1462105,1069807,231894,97590,23088,14659,99454,307591
Mongolia,75,308043,18007521,224,792581,954915,-162334,2437764,1059610,900127,2064550,305810,697825,2906272,1882401,3936065,346364,175665,1079908,11829,15752,531665,193362,150426,128767,31523,15291,1963,2823,31682,114501
Morocco,30,648566,35905272,317,664914,2307456,-1642541,491698,1064485,540335,326687,342778,545240,699459,944644,322807,279926,1006474,428219,260718,512867,329243,615330,683497,721349,371843,801900,626316,2344894,1182083,515146
Morocco,50,436047,25412660,334,534187,1552877,-1018691,387578,862145,396064,224454,235556,413338,584345,767341,256006,228913,845014,347178,197818,419420,249421,465020,525388,579293,288026,660410,524958,2031575,944050,387176
Morocco,75,210941,13219587,364,333477,826087,-492609,223656,479505,212215,108031,115938,218747,365926,475616,136634,149065,565022,211465,123936,269548,144753,266594,305732,382022,159524,387403,377881,1442314,633974,247971
Mozambique,30,28920531,1722601467,292,69961023,88116561,-18155538,20783026,35123396,27089398,34915028,51656988,60738628,46880043,69693581,74705776,69667139,50854975,51031524,57685721,73260430,66896489,92796023,132615755,63516074,88987861,87019896,107718212,94351957,104137896,116938729
Mozambique,50,10494126,773199010,388,39900180,37822803,2077375,12883505,20099705,15441919,17792335,27748072,35331794,25913520,39152907,43027928,40269746,30526845,29846827,34165096,45692747,40794949,57733326,76170148,34697124,48788615,47659446,61864697,54301598,56480317,61221135
Mozambique,75,341595,30547261,522,3344724,11458579,-8113855,2015026,1963287,1167106,1156072,1837617,2398908,2103958,3432600,3394977,3359021,2849333,2593981,2625990,2591622,2550986,3755001,6729285,1982417,2878202,2440447,5927812,6599522,6735074,7185145
Myanmar,30,42863360,4904120586,637,121852699,122198512,-345814,25293842,36739983,43268855,57156275,52392896,69689194,82284241,67000570,122125856,96950863,77913760,128894643,142907838,185304912,164035699,205624010,193263008,155852360,172006637,173605904,174593721,151502217,181229694,164827785
Myanmar,50,39793687,4691967994,656,115333848,111793814,3540032,24453219,35356065,41690467,54871407,50741333,66089086,79106545,64274409,117766724,93772654,75056222,122410922,134578579,173620042,154691303,193823467,181384947,146373964,160981276,163098675,164852606,142920488,170162074,155935841
Myanmar,75,27445682,3511039403,713,79212785,71175159,8037626,19236484,26870108,31637532,41824529,40785659,46631616,59383820,48037732,88531140,72542893,57092360,87008057,87178339,110255605,102431157,130688667,118663476,94798567,102728701,107062196,109927209,95842640,114729688,107218668
México,30,53168926,2938580663,319,89090450,215573045,-126482596,55114705,55464463,52378027,59901695,74854948,60451232,83814776,69105608,103039945,66209363,72132830,70418743,88672504,73627784,84015941,122182587,133184826,119791170,148745104,131413311,85418724,90630775,105086403,132515297
México,50,42118174,2562515211,348,84219670,174084165,-89864496,52748841,53084939,50101722,56889718,70643754,57376266,79130369,65531536,98370617,62726222,68517008,67017654,84087047,69497098,79763454,114878122,125872445,111168435,140349509,125057096,80167836,85812341,97510687,124969351
México,75,29489720,1995547369,377,70263251,123532771,-53269521,45847787,46644030,42783460,48112084,58651454,48552000,65496830,55641905,83816066,53891652,58613004,57430971,69777829,56746764,66591660,93323423,103316722,87939561,114753013,105059025,65635544,72248822,79292357,106152028
Namibia,30,4245,155601,171,12563,50807,-38244,97080,24974,56635,16817,12487,3947,15218,7066,18474,6518,14034,5375,667,1365,1633,356,1022,2281,359,346,3369,4826,3523,3141
Namibia,50,601,38694,287,6048,40107,-34058,57162,14105,37995,10406,1774,1271,2935,597,1618,950,2684,768,89,175,99,0,449,23,0,0,2062,4493,2607,2888
Namibia,75,54,5685,309,1664,39193,-37529,13876,4228,5622,1585,98,199,474,16,389,183,757,0,43,59,80,0,449,23,0,0,1940,4430,2607,2865
Nepal,30,5161038,641539531,626,1386216,11729200,-10342982,919666,1256764,1354552,1343375,1629269,1873857,2011282,1752619,2941703,1336415,1658730,3004684,451580,647229,306032,513329,1301776,940722,1202605,1244149,1590214,1208422,1311116,1469121
Nepal,50,4308183,561685825,657,1202216,9427440,-8225225,825273,1119036,1184107,1082357,1423059,1604521,1707894,1488456,2501818,1072671,1490866,2667303,385298,541916,277058,449017,1152854,829745,1060278,1093717,1422927,1070776,1136304,1265917
Nepal,75,2131920,305025743,717,746600,4100392,-3353791,596020,830494,812235,621382,1026251,994000,1165963,965519,1683886,658318,1098661,1933797,196553,263917,154427,238071,612361,399127,524450,558617,768794,583252,585129,647184
Netherlands,30,593054,37728451,301,621191,4502987,-3881798,267447,291103,118146,457831,552828,575430,672348,478749,650955,1410546,496206,426148,227049,388900,415294,657423,612879,592598,1189562,937147,1270255,619768,825534,774412
Netherlands,50,473968,33958510,346,599591,3685125,-3085532,261471,279734,115057,441668,537263,561784,663309,467189,637177,1376972,487334,420517,220752,372934,403723,631083,579947,556025,1131386,893276,1234000,595968,785740,735910
Netherlands,75,285065,23341262,400,476692,2358642,-1881948,227205,231183,95902,340625,427103,464662,574356,389203,527361,1122635,417191,376908,172569,282501,310600,474118,427619,412660,851004,684554,1014768,468499,610952,536445
New Caledonia,30,1440327,118446282,365,457663,9433340,-8975676,269615,226236,312409,509896,501671,633792,364697,229113,419901,227464,318869,379958,888122,785839,198370,445726,455165,987113,284710,1340972,258563,145153,209059,591522
New Caledonia,50,1051338,94385013,399,312926,7026158,-6713233,224117,166755,255052,406999,437528,530793,303940,206671,346892,189516,267630,307836,446886,390881,107022,255377,308334,601061,171565,943072,187341,95365,101438,258168
New Caledonia,75,725319,72127677,447,168551,5026911,-4858361,157505,100217,178077,258251,293893,329468,195946,146539,208892,125414,193735,233377,162944,132786,45154,105506,155418,260421,79304,444748,104603,37272,36244,59517
New Zealand,30,11255805,935544880,493,39261223,60416835,-21155612,21180797,28229305,20380844,29075234,25585066,31444864,32463959,33418476,33833913,32341806,35628871,41634018,46779188,48463330,41712572,51970830,51531679,56251888,52222953,45414453,53035810,47260173,45170265,37239056
New Zealand,50,10796264,906862178,498,38796984,58136811,-19339826,21138910,28181582,20336975,29012006,25507835,31380160,32391139,33360770,33793168,32294446,35578502,41488866,46274846,47920949,41367212,51376440,50802361,55387869,51391573,44474457,52024526,46114701,43633656,35894706
New Zealand,75,9368330,815604201,517,37288952,51184576,-13895622,20863841,27842810,20042042,28602493,25036053,30906281,31869436,32966969,33492768,32007407,35226002,40825020,44618701,46143855,39992723,48883024,48117641,52543849,48713552,41751215,48950779,42746667,40059448,32732304
Nicaragua,30,7773867,667230299,428,46150522,32055385,14095137,21190743,28277306,23538951,10567154,49709311,20808008,49309596,28725032,46031100,116482992,24705848,18453625,24738454,42259964,20044663,80780401,117528223,41439522,45165032,60111311,51700076,29057218,68205981,88782031
Nicaragua,50,7064509,637193896,454,45678657,28566823,17111834,20775347,27969081,23074947,10348850,48947177,20498614,48713575,28245006,45607561,114830143,24523934,18154941,24458247,41733525,19831122,79773310,117011013,41076932,44749146,59719179,51474302,28790867,67765686,88215262
Nicaragua,75,5826755,567707582,492,44084621,22533845,21550778,19375883,26650733,21512845,9620870,45970382,19517846,46745713,26665753,43875317,108792269,23790029,17263836,23615840,40200065,19237033,76622459,115235496,39908304,43518594,58288765,50798067,27985210,66348047,86491536
Niger,30,2,85,37,43,10545,-10502,26,125,35,15,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,69,206,146,397
Niger,50,0,22,48,34,10542,-10507,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,69,206,146,397
Niger,75,0,0,0,34,10540,-10506,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,69,206,146,397
Nigeria,30,10048743,641405284,385,33533522,83898009,-50364487,15242039,12102877,4759870,5539931,5194238,10225853,10101696,11774463,10934806,15222622,22934074,16683899,22565197,37271324,23163655,40953938,99251087,69733181,48616792,60291220,65091479,70495536,54693455,71961300
Nigeria,50,4725133,363104596,453,15285302,48655676,-33370377,9361089,8000982,2316700,3487788,2802079,5781023,4890410,6079658,5281937,9028399,12314233,8269712,9774767,16317886,9734002,18799250,37340289,27415041,19500998,25707986,31974566,33871460,27161788,31635185
Nigeria,75,315628,32167595,591,3800463,25418907,-21618442,3804957,2060092,480186,466413,442233,903051,716357,868781,648391,1131165,1719769,882628,1679854,3448474,2526606,3707016,8612890,4316727,1927861,3547203,12310275,12608818,9890318,12511070
North Korea,30,5195566,251514131,236,3517120,24518335,-21001215,2797474,1428956,2074776,2990444,4192616,3789025,3958681,5411613,3751912,5974756,1421069,5502188,1518695,3153732,2090802,3328727,2634251,2341777,6453298,4361991,4603275,3046250,3562767,4021820
North Korea,50,4093562,207499100,250,3011924,19275756,-16263832,2544179,1227347,1781666,2554676,3476605,3323259,3349301,4633392,3256872,5127402,1272493,4710143,1343796,2741611,1655305,2948067,2341858,2067212,5000173,3702131,3970278,2663126,3127184,3468079
North Korea,75,917015,54041750,304,976912,4879675,-3902766,1097304,473045,718765,928644,1170464,1503817,1240288,1636070,1220541,1756448,636774,1636733,370163,709618,341546,806205,727892,540488,950715,837032,1104428,785785,985097,1268002
Norway,30,11739515,444469768,132,11494211,54031319,-42537109,4566933,5665781,3184632,7362961,5553494,9307044,7522835,8321458,5886205,10075818,8297263,7747251,8396522,10114063,9746642,16284576,15924513,16709749,18562723,19587953,18896799,20189520,17637784,20318546
Norway,50,9807522,390429987,142,11295201,45394738,-34099537,4527927,5625591,3162867,7279416,5511916,9228975,7478158,8267855,5847824,10026908,8269552,7679589,8225514,9926788,9579791,15914048,15550251,16282073,18191976,19091740,18496292,19752537,17271558,19895666
Norway,75,6246630,271046624,158,10033187,29123439,-19090252,4195930,5264785,2991203,6810303,5248409,8699009,7129993,7884288,5575948,9598130,8040506,7322737,7151527,8669241,8477204,13755886,13347095,13916929,15734502,16033634,15832790,16993393,14937919,17185117
Oman,30,0,25,70,1,2971,-2969,0,0,0,1,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
Oman,50,0,22,77,0,2971,-2970,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
Oman,75,0,8,110,0,2971,-2970,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
Pakistan,30,681137,55015545,402,114934,1871296,-1756362,63629,110695,231357,322506,224289,326644,266686,312934,218916,174207,128354,76324,23284,15039,1075,0,36267,23190,30427,24753,20098,17598,59030,51105
Pakistan,50,471768,41882048,446,103009,1434743,-1331733,58974,99954,212676,300949,203068,293452,240440,287395,199836,161450,117788,66330,14499,10869,747,0,31045,18746,25281,20652,15411,12877,42685,37088
Pakistan,75,244635,24809894,516,66696,1015763,-949067,38997,72047,149000,213813,124030,177242,142881,196780,125051,113311,84364,47691,5560,5335,174,0,15997,7821,13160,9870,5014,7107,23945,21514
Palestine,30,615,27026,175,275,5338,-5063,514,419,333,309,97,196,335,964,315,321,67,89,98,336,34,6,476,549,96,84,0,0,213,731
Palestine,50,273,13089,191,147,4232,-4086,380,128,120,136,18,74,176,799,114,315,36,26,23,9,0,6,113,301,96,0,0,0,136,529
Palestine,75,73,3897,215,46,3588,-3541,80,38,35,46,0,0,0,80,21,71,0,26,0,0,0,6,0,21,49,0,0,0,136,501
Panama,30,5734588,591529698,493,12628673,23417572,-10788899,9853246,9983547,5987328,9140172,6889035,18379998,11228079,22312632,20703304,9096380,13635586,9947971,8184596,8156682,6157006,9523527,18050717,16436282,19888906,16046862,14558130,10531532,15171529,13225114
Panama,50,5488680,580285004,505,12401515,22059921,-9658406,9754125,9854769,5907096,9023873,6807819,18081053,11066116,21977996,20307036,9026450,13503189,9804024,8098059,8024724,6074632,9403577,17680752,16069926,19353441,15688190,14226552,10295891,14701369,12905705
Panama,75,5002680,552167682,524,11569134,19540727,-7971593,9278798,9106873,5478890,8464297,6488306,16704730,10252459,20632070,18773446,8707578,12929994,9234034,7799113,7588028,5780838,8995309,16418063,14810629,17658486,14501039,13168465,9546602,13370636,11970513
Papua New Guinea,30,42920264,6377171603,642,60948758,103016258,-42067501,26106381,39429437,24083349,42553202,28287844,41757069,37029112,53152010,36285219,51889884,40698285,57983378,44452081,80523355,131126561,119485524,89136120,90788466,72748149,59460035,58533194,110208497,64926900,62126135
Papua New Guinea,50,41975225,6327299511,659,60654849,99167694,-38512843,26045551,39321645,24044471,42395299,28227293,41671365,36961448,53025504,36200153,51788521,40613938,57873704,44194001,80158015,130270466,118467306,88545710,90474293,72422642,59213538,58280699,109694378,64544276,61282185
Papua New Guinea,75,39646489,6160763542,706,58816660,89662375,-30845716,25509598,38403825,23746197,41366908,27660110,40965946,36449426,52165949,35543958,51013614,40085470,57146635,42967325,77726357,124343817,110999145,85527431,88380539,70311179,57390310,56376585,106373820,62335256,58810415
Paraguay,30,24273209,869354090,246,77700249,101039165,-23338917,37588478,51483655,72701790,72907167,65024452,36257177,102229526,85881379,79339495,103589323,109527790,126140699,77850583,90203680,75504564,89171788,100403430,64399449,75677521,69170792,80151342,67694678,57738077,74169139
